pktnum,Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser,zone
1795,55.1113,-0.16035276596124248,1.4973131352354416,10.626620028453264,0.5600829162543626,18.59318180255889,69.87559,6.75010041494444,18.037996392784976,372.17521134250165,0.18714992802078928,0.18804920401466446,0.5212596217695142,2.9136133431066185,0.00759919313569346,2.56694657575,2.0
1796,54.19844000000001,-0.047824170224778584,1.648613121578845,10.614441241782673,0.5200962557049778,18.6284090928666,71.12926,6.5919326048423335,18.028792049208647,368.44290292597054,0.18909891497223533,0.18827917693505744,0.5176810063069732,3.0702585300313654,0.007791589550690038,2.5508495786000003,3.0
1797,54.87603000000001,-0.07096975245878667,1.5361132318404571,10.595040264036411,0.6252316287543032,18.788572704847784,70.2443,6.076664995903273,18.111873087262765,366.4921190033024,0.1957065474543104,0.18895440237664493,0.5124166518773396,3.248098973610217,0.00966250329445062,2.6735601816000005,4.0
1798,54.54883,-0.005221954585948653,1.6559443841468855,10.74444472165249,0.5761068466057893,18.984722320739067,70.66899000000002,6.6551187819174595,18.356682562376676,372.46196397139846,0.1944826057037912,0.18860777685588656,0.5071495270888251,3.3468592354262903,0.009430477469052012,2.6385269071,5.0
1799,53.26976,-0.12343257468851475,1.6225422798949063,10.745766756538837,0.7413117616872178,20.049809209422147,72.4513,8.1607268380043,18.280777413602,371.23245684944084,0.19221658823116616,0.1897075905370829,0.5127395858695896,4.362234923986819,0.00825736582259351,2.5319116928,6.0
1800,52.36066,-0.09177779180743427,1.3966283464351144,10.745370294445195,0.6716005683393753,19.724857044358203,73.61055,7.166271947891412,18.318757315677832,368.1371243023777,0.20019001662866456,0.18904614791598687,0.5184563747636433,3.877311437406648,0.008882553025328366,2.61397504885,7.0
1993,55.8621,-0.17426328387887224,1.303344060191785,10.0559952390975,0.5892956435689065,17.751434039611343,68.58165,5.321641548503177,16.75817170965533,344.20337781885536,0.1729398215787218,0.18171030504912752,0.5093338252823476,2.815148379158181,0.0021337917822440433,2.3875461540000003,0.0
1994,56.75496999999999,-0.17509164698228474,1.3241256574362772,10.13330324997063,0.4709103471753657,17.6567067314827,67.7006,6.154815839383002,16.959107701313428,354.21936207044234,0.17271633210923826,0.18282547096971768,0.5141447515259321,2.471281655829064,0.003394386698807872,2.434646325575,1.0
1995,57.159180000000006,-0.15071839762630998,1.437819442797196,10.268623407629006,0.5039426574751467,18.49568300680626,67.30014,7.4737789123136675,17.526653449173576,363.746868475787,0.1773831548780515,0.18104948119361947,0.5135459703838743,3.5260541530404663,0.009218256863709915,2.5120030630500003,2.0
1996,55.59979000000001,-0.1339245728996552,1.845847405830316,10.357405994521288,0.5193396129985892,18.85247465945539,69.27154,7.836411221748532,17.798823469844663,363.314808117922,0.18472015386967602,0.1811335340843717,0.5119642364810963,3.882001391029789,0.011203663420466414,2.5477213772750003,3.0
1997,54.72224,-0.0591782586052112,1.6022641808873814,10.388249449903071,0.6006456082559772,19.043083637793075,70.4316,7.841672382545882,17.822402401240815,361.41989100205126,0.18558855688447984,0.18110398042338186,0.5167942889034163,4.0538309548809215,0.010728301831226195,2.5129820664,4.0
1998,54.15524,-0.03618497059041559,1.7800516499595558,10.415499260209668,0.6534507326457408,20.17190827841649,71.14764,9.350293064371751,17.933820876428758,361.4787782772811,0.1906170258313078,0.18229008742036887,0.5133846963648354,4.998012151698634,0.01176920945534332,2.5511179683000003,5.0
1999,52.84316,-0.09388881032331398,1.9162484314807176,10.426987950619806,0.6046170309512391,19.23616770479596,72.99803,7.662129745245823,17.862750713313638,360.87462281571925,0.1877264970113363,0.1824460462422418,0.5016738393616521,4.034111310871927,0.010312305489901473,2.4499410055,6.0
2000,52.19456,-0.1998321313498969,1.6193276605081943,10.368514041886561,0.5736660385946379,19.24734241883191,73.81085,7.75196573486576,17.80330902805512,358.28777769578227,0.1893687588022188,0.18362874090747247,0.5085012719527833,4.073580474014609,0.010965052775700146,2.4450541632,7.0
2193,60.47374,-0.03882338849993161,1.4495938688411494,10.119489452277683,0.4076502414641325,17.80638800989516,63.51768000000001,5.6796094426815165,17.171619139959063,351.82409433880014,0.1810098955029677,0.1831389106339405,0.4853530191653936,2.6509577073715977,0.0073589683426088515,2.7306917297,0.0
2194,59.67123,-0.07644727237303073,1.6858825167399751,10.29959405246712,0.38297744026919744,18.57470631649985,64.47176999999999,8.069642469827262,17.573834195291287,361.87203961428236,0.17648071002915616,0.1776049911023561,0.5263830982017224,3.7018677866085583,0.008993513344205395,2.618522750475,1.0
2195,59.56865,-0.06793968192210542,1.7367701443768473,10.331871843788642,0.433237536302979,19.018265806745184,64.63445,8.049118851279871,17.655496038617553,360.0159283465198,0.17732936580380004,0.17758318773604964,0.5292112306930692,4.1489988030807226,0.00944480604224629,2.601958632,2.0
2196,58.74876,-0.07204510763825668,1.7828387762981204,10.34161770570277,0.6073970396593573,20.055637150522426,65.49409,9.22235062766766,17.8921610907939,357.3186096052272,0.19445756132981007,0.17711960390596385,0.5011916367929277,5.0639005061460365,0.013052685373853956,2.8385932113,3.0
2197,59.65136,0.059310699010552526,1.6580606711748025,10.217537375240695,0.536229090779063,19.63365520074059,64.51805999999999,8.60305406826928,17.697500464922093,353.0520658384883,0.1958568891290128,0.17907133401918468,0.4993912935511386,4.7799428708710945,0.013369519175105649,2.9090476988,4.0
2198,58.66384,-0.10565738339949247,1.7209011719205434,10.303924689066841,0.6342908384919106,19.50223447879218,65.61224,8.098525780131823,17.68213813267753,354.2930200637586,0.1936459841711187,0.17951435578846905,0.5070979483298266,4.491604368176713,0.010675955860538044,2.8293570032,5.0
2199,57.84064,-0.15137422720821547,1.4423911096454325,10.194182214576706,0.5799945697223166,19.200965119341568,66.54045,7.516152255561789,17.426564894369108,352.8242749192939,0.1843164788278505,0.17998002076390984,0.4945237919419365,4.047748635710246,0.009541606170760164,2.6401360128,6.0
2200,56.94454,-0.02180437648429745,1.6702860585859332,10.2435343127536,0.6417169487865344,19.630839001730017,67.65434,7.890864140039404,17.676188813399012,349.49155923315607,0.20147849982020585,0.18025951332418,0.493001633052224,4.479327937734769,0.012276155563106015,2.8707166227500003,7.0
2393,62.16587,0.047599967166249264,1.1784574161788148,9.212974759332203,0.4397986125186826,16.733689911761747,61.54398000000001,4.75430176921315,15.540951596690835,316.1488630177193,0.1623068358385048,0.17929271769948213,0.4667516288259432,2.5174503298160555,0.00559179606306992,2.492695972325,0.0
2394,61.70111,0.01687580360583496,1.3654454462984185,9.71226292497588,0.4492598077325773,16.865824205440553,62.17182,4.611875028022133,16.525497101604973,336.6933609480645,0.1757553515423293,0.1849266621057651,0.4753661776743314,1.9975414308872264,0.008260959774672337,2.704513904075,1.0
2395,61.27955,-0.16170615820207954,1.3811078572832114,9.770456906992713,0.3065392833078775,17.662829507641295,62.60784,6.101756956317807,16.77252920845756,341.80826492368067,0.17193197531207413,0.18543342571089425,0.4880697056853141,2.912429612820052,0.010717692563010915,2.610968426625,2.0
