pktnum,Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser
1121,0.4254314672513764,0.0,0.7342325321811242,0.8244501569191394,0.1815106412738993,0.7106640641580546,0.4157563608924279,0.35895092402088435,0.8166407261234968,0.8134614713474119,0.6949526504115894,0.9879762774861066,0.4409801177216164,0.35693765081917933,0.33573145101579027,0.430105333655762
1122,0.4227457407120754,0.0,0.6044096627008786,0.822438097509715,0.18552820413446322,0.7175568925291045,0.41747814159068714,0.3814108754976945,0.8133286167977914,0.8105470629612656,0.6963900512492156,0.9840025566036997,0.4397344423356413,0.3789312950163477,0.3246771321009989,0.4286381048895106
1135,0.39406987262964605,0.0,0.750974996881145,0.816487437416652,0.18069673389942864,0.6752557355274005,0.4480725180266794,0.3157160096601916,0.8065173820070847,0.8159197756404897,0.6590528266182774,0.9789626123259926,0.4429922158205257,0.28250241407788246,0.31675010537129666,0.3776305628922543
1136,0.3943387009047569,0.014841629663438423,0.8939833903767983,0.8195150154563027,0.25051265611507634,0.6996822121655769,0.4488331272114672,0.3509219850561979,0.8170190565473184,0.8176248978874008,0.6782996815138046,0.9712262112672212,0.44565617829240906,0.34478720875773217,0.38026263958757434,0.38836545590406774
1137,0.39895777564128965,0.04363097141380755,0.7331945114845487,0.8182746151150833,0.26236592452303864,0.6995502450320704,0.4438644154826382,0.379201120266849,0.8149958671387071,0.818319773338793,0.6679335265283908,0.9714977788675224,0.4446905604727904,0.35074411810674977,0.3737758705347557,0.38629197376773766
1138,0.40452264874667515,0.09414504598815171,0.8105369375937536,0.8190675258162152,0.2817785241769456,0.71910617201436,0.4378893146688864,0.3904195579001872,0.8174612015619137,0.8143985099654188,0.6934609751740272,0.969394226909767,0.44351666272217266,0.3900285269120145,0.38782007911319816,0.40820329800264465
1151,0.4815373341835104,0.0,0.8986434573282495,0.8105816263444147,0.23664452192920563,0.6909005153026837,0.36738097215587034,0.33408787694429576,0.8018577070939878,0.8061637547015953,0.6574337593491328,0.9708601908041415,0.4448133941023552,0.3285576682517517,0.3269848377742174,0.4588157772194646
1152,0.47052915004537266,0.0,0.9256793337610073,0.8142037314661476,0.2451575519045825,0.7071162202248453,0.37591581293925785,0.3750031633949791,0.8070492628460323,0.8067368075377346,0.674480240517247,0.9743724492292188,0.4307280314880363,0.3711994564712255,0.34097208449492405,0.4604187323147375
1153,0.4593418890689282,0.0,0.5944358284992731,0.8144673658719624,0.18032619696254126,0.6876694803571409,0.3849041508344737,0.320006556941737,0.8027491791978666,0.8060313659973234,0.6662371263747793,0.9804856456475709,0.43742530643100547,0.3094472846035641,0.3016128427866101,0.444225535082168
1154,0.4563664585247534,0.0,0.7006041291447364,0.8111160026436736,0.14676417164925,0.667514220694423,0.38669293604524024,0.271027925463904,0.7944972829428639,0.8027369321048521,0.6532981307940793,0.9908564615254023,0.42991018439712503,0.25216938842057113,0.2582467891372285,0.4333086546855854
1167,0.40984695391860165,0.032488850184534436,0.690166736648963,0.8172167537052558,0.20196787096826893,0.7401138690750072,0.43076263221184413,0.42539407468412876,0.8131133680501562,0.7983182180454412,0.723469956572788,0.972393189447439,0.42348919182255335,0.43312513209270886,0.36691081609795523,0.4339067487918746
1168,0.41328136649402764,0.05384211886906674,0.5549157541610016,0.8170643237947005,0.23280288907106833,0.727752310958869,0.42767194835618344,0.4055731792188838,0.8114487121295899,0.7994487870855671,0.7138643980329225,0.9748141047025938,0.4234715471981606,0.4099823861241116,0.3541222256591532,0.4310824399975243
1169,0.41467364985862726,0.03474291944409888,0.681442918906088,0.8162652237328001,0.22136156286454026,0.724114986292339,0.4268038225510375,0.3911261031740382,0.8112509344638216,0.801433549551634,0.7124517896838932,0.9738146431961139,0.43350698048270125,0.39752924930714567,0.3589296874915138,0.4320329819851828
1170,0.42046474770899517,0.04382708676185336,0.6016673185055956,0.8166366347803595,0.2455642758051673,0.7212628537378887,0.4208249509205644,0.38462772901226483,0.8107420031213525,0.8007030299409614,0.7105094557588961,0.9739433911906639,0.4284641053451466,0.38986685821977424,0.35137389482818604,0.43668279981531943
1183,0.41126224318947063,0.10210931998583472,0.672871972055871,0.813905276198708,0.24209498568690002,0.7529492001256286,0.429145338588885,0.4575353348185721,0.8131498309861044,0.7920310403740286,0.7383874966270243,0.9671358929521845,0.4360250217845069,0.47423236674078506,0.39500951068333634,0.445436397116134
1184,0.40916856370718874,0.1402806519599735,0.6258092729498589,0.8156683401919232,0.2594148618129351,0.74748390373167,0.43129937735436347,0.4436919602739451,0.8136539862357604,0.7934439152435417,0.7349949805835712,0.9699948951527102,0.42633201561979994,0.45622366858848945,0.3844547185278428,0.4408519078148187
1185,0.40701438721212435,0.061193004633662514,0.6006669573954003,0.8158282790654464,0.21635128224587694,0.7472849969422343,0.43334380460130534,0.4343620289102356,0.8117876953209724,0.7924581797099138,0.7311465824027887,0.9721788753246,0.4241728021779611,0.4486155958712335,0.3671428762255776,0.43612780089710873
1186,0.40868671778143534,0.07204011025999615,0.5825931284324181,0.8137021550355279,0.2040566220778645,0.7477787647722216,0.43079286320401916,0.431463382246141,0.8092595503710145,0.7878101642478382,0.7359337440472835,0.9752509414238356,0.4280081514924881,0.4440504153953985,0.3636468300287281,0.44104478336103425
1193,0.6787348739716572,0.0,0.7264528825109705,0.8040488738924734,0.3227450119243332,0.6741463856893419,0.2583759427565527,0.3584123223203988,0.7936273095956782,0.8109097850235996,0.624473079629582,0.9479062561622957,0.44364186038000625,0.3354445370152766,0.3142481289380609,0.6121853720054817
1194,0.6880859227995633,0.014979011731860286,0.7700123824870879,0.8087271518409079,0.24082641748772526,0.6764071975934663,0.2556758768381644,0.3291644220969497,0.8018918068142633,0.8242056331538495,0.6285567904292867,0.9569752544937417,0.45380342981774324,0.31920209428391244,0.3454515024896798,0.6250485099427396
1195,0.6837085520906262,0.07568255374345695,0.8111110799682107,0.8095453741377013,0.26100301842467405,0.6710089730680932,0.2573279457708857,0.32343383895134964,0.798668462595617,0.8151992709408186,0.6378052818630802,0.9652583476746065,0.4424116729409833,0.2944323416465377,0.3105642123931382,0.6319252077783645
1196,0.6702330555109796,0.0,0.6389177627568821,0.81286574750114,0.29210659987852455,0.6818130070804401,0.2628793292561458,0.3544856345448257,0.8011784471765295,0.8181962095931895,0.6327125190183468,0.9681690103827392,0.448570945775053,0.32561113544953113,0.3041922332177529,0.6129181782827409
1197,0.6636865970714333,0.03182390625447214,0.7336558275058866,0.8142011920138879,0.33953228459794704,0.6739653856902983,0.2655549009804478,0.3479425792235534,0.8020495576188115,0.8226728357146472,0.6338370282809911,0.9667003955312498,0.4419520767315301,0.30911473704338194,0.3002297937520838,0.6090193117824714
1198,0.6552732519416559,0.028154031590645175,0.6990118047709215,0.816919810169027,0.3492396117768317,0.684601450727465,0.26946246620888953,0.3401603249089117,0.8037686137403647,0.8186498040416851,0.6404568357337082,0.9750811850266984,0.43437057248794325,0.3211620418391002,0.29196420895887026,0.6068486379279434
1199,0.6501540117614145,0.04513420541885035,0.7880990724238951,0.8239460305183867,0.4283886693494007,0.6986262498025789,0.27152358818285344,0.3591961236209339,0.8169982902040069,0.8215989537353969,0.6767175002679886,0.9781066944798177,0.47661189120604064,0.34898551887583656,0.3453493945135893,0.6382291371707184
1200,0.6397942533518327,0.0442212688523386,0.6282088059022539,0.8214604143807015,0.442077202185388,0.6815395014248046,0.2758655063766928,0.3143597124371116,0.8096144752798058,0.8195723130820421,0.6601270464805746,0.9778557123627083,0.44403791194432624,0.3048454566540602,0.3035330060279304,0.6128873809001996
1207,0.6095183386895437,0.12713286259434592,0.6449203780785894,0.8217747973389262,0.37681078360178843,0.7066008264151936,0.29043014093089087,0.3328951057910391,0.8023340842355553,0.8109058489154641,0.651249776423726,0.9802668824730397,0.4301871655553464,0.33104009791741756,0.2357565903688451,0.5755662803629771
1208,0.5986254681062873,0.08040321469346073,0.8023410827458379,0.8280705943131526,0.36851637531426557,0.7146123123486037,0.2957493774687771,0.34143809259958013,0.8123822302039969,0.8141408101188851,0.6757264074361392,0.9769289905112681,0.43903198346610556,0.3429614260425436,0.26968227099275577,0.5890652842648174
1209,0.5913594360428704,0.0,0.6998758737024561,0.8254948548219163,0.3150117641217279,0.7150771959675757,0.2993327491468044,0.36171265610730824,0.8054721657276322,0.8162023961712848,0.6433248180149774,0.9773762730832312,0.4377868161426254,0.35275448128292936,0.2319487684685157,0.5500906818821851
1210,0.5839127650117089,0.0,0.5586656965445914,0.8278244737815083,0.3344780753347559,0.7089256142164579,0.3033039025922625,0.3468481368065817,0.8064888409802556,0.8210321438743361,0.633938055349626,0.9814710647954257,0.4409555793540009,0.3373043495262025,0.22069413650920794,0.5341208485585133
